"filename", "language", "Dart", "comment", "blank", "total"
"d:\Development\Collaborative_development\ticketeer\lib\app.dart", "Dart", 61, 4, 4, 69
"d:\Development\Collaborative_development\ticketeer\lib\core\components\buttons\custom_default_button.dart", "Dart", 50, 13, 9, 72
"d:\Development\Collaborative_development\ticketeer\lib\core\components\buttons\custom_highlighted_button.dart", "Dart", 50, 11, 9, 70
"d:\Development\Collaborative_development\ticketeer\lib\core\components\custom_button.dart", "Dart", 58, 14, 13, 85
"d:\Development\Collaborative_development\ticketeer\lib\core\components\custom_text_field.dart", "Dart", 77, 3, 18, 98
"d:\Development\Collaborative_development\ticketeer\lib\core\components\custom_toasts.dart", "Dart", 38, 2, 3, 43
"d:\Development\Collaborative_development\ticketeer\lib\core\components\static_elements\custom_chip.dart", "Dart", 48, 9, 8, 65
"d:\Development\Collaborative_development\ticketeer\lib\core\components\static_elements\custom_container.dart", "Dart", 32, 3, 9, 44
"d:\Development\Collaborative_development\ticketeer\lib\core\components\static_elements\feature_badge.dart", "Dart", 38, 5, 6, 49
"d:\Development\Collaborative_development\ticketeer\lib\core\components\static_elements\stacked_gradient.dart", "Dart", 32, 3, 4, 39
"d:\Development\Collaborative_development\ticketeer\lib\core\components\static_elements\validation_error_box.dart", "Dart", 50, 5, 6, 61
"d:\Development\Collaborative_development\ticketeer\lib\core\constants\image_names.dart", "Dart", 16, 9, 15, 40
"d:\Development\Collaborative_development\ticketeer\lib\core\constants\object_constants.dart", "Dart", 4, 3, 4, 11
"d:\Development\Collaborative_development\ticketeer\lib\core\constants\reg_exps.dart", "Dart", 3, 1, 1, 5
"d:\Development\Collaborative_development\ticketeer\lib\core\constants\string_constants.dart", "Dart", 5, 5, 5, 15
"d:\Development\Collaborative_development\ticketeer\lib\core\dio_interseptors\api_interceptor.dart", "Dart", 40, 6, 7, 53
"d:\Development\Collaborative_development\ticketeer\lib\core\error\error_model.dart", "Dart", 42, 8, 14, 64
"d:\Development\Collaborative_development\ticketeer\lib\core\error\exceptions.dart", "Dart", 37, 13, 7, 57
"d:\Development\Collaborative_development\ticketeer\lib\core\error\failure.dart", "Dart", 15, 6, 7, 28
"d:\Development\Collaborative_development\ticketeer\lib\core\error\request_handler.dart", "Dart", 20, 14, 3, 37
"d:\Development\Collaborative_development\ticketeer\lib\core\routing\app_router.dart", "Dart", 70, 3, 5, 78
"d:\Development\Collaborative_development\ticketeer\lib\core\routing\app_router.gr.dart", "Dart", 469, 37, 85, 591
"d:\Development\Collaborative_development\ticketeer\lib\core\styles\app_color_scheme\accents.dart", "Dart", 24, 1, 4, 29
"d:\Development\Collaborative_development\ticketeer\lib\core\styles\app_color_scheme\app_color_scheme.dart", "Dart", 43, 3, 6, 52
"d:\Development\Collaborative_development\ticketeer\lib\core\styles\app_color_scheme\backgrounds.dart", "Dart", 15, 1, 5, 21
"d:\Development\Collaborative_development\ticketeer\lib\core\styles\app_color_scheme\components.dart", "Dart", 22, 1, 8, 31
"d:\Development\Collaborative_development\ticketeer\lib\core\styles\app_color_scheme\fonts.dart", "Dart", 18, 1, 4, 23
"d:\Development\Collaborative_development\ticketeer\lib\core\styles\app_theme.dart", "Dart", 80, 10, 3, 93
"d:\Development\Collaborative_development\ticketeer\lib\core\styles\custom_text_style.dart", "Dart", 153, 12, 39, 204
"d:\Development\Collaborative_development\ticketeer\lib\core\util\custom_formatters.dart", "Dart", 27, 1, 3, 31
"d:\Development\Collaborative_development\ticketeer\lib\core\util\date_time_helper.dart", "Dart", 42, 6, 6, 54
"d:\Development\Collaborative_development\ticketeer\lib\core\util\debounce.dart", "Dart", 14, 5, 5, 24
"d:\Development\Collaborative_development\ticketeer\lib\core\util\inversions\custom_system_theme.dart", "Dart", 4, 2, 2, 8
"d:\Development\Collaborative_development\ticketeer\lib\core\util\validators.dart", "Dart", 60, 20, 18, 98
"d:\Development\Collaborative_development\ticketeer\lib\features\auth\data\auth_datasource.dart", "Dart", 43, 8, 9, 60
