Date : 2023-05-08 17:40:55
Directory : d:\Development\Collaborative_development\ticketeer\lib
Total : 159 files,  9324 codes, 810 comments, 1187 blanks, all 11321 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| Dart     |        159 |      9,324 |        810 |      1,187 |     11,321 |
+----------+------------+------------+------------+------------+------------+

Directories
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                                   | files      | code       | comment    | blank      | total      |
+--------------------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                                      |        159 |      9,324 |        810 |      1,187 |     11,321 |
| . (Files)                                                                                                                                              |          3 |        154 |          7 |         19 |        180 |
| core                                                                                                                                                   |         33 |      1,696 |        236 |        341 |      2,273 |
| core\components                                                                                                                                        |         10 |        473 |         68 |         85 |        626 |
| core\components (Files)                                                                                                                                |          3 |        173 |         19 |         34 |        226 |
| core\components\buttons                                                                                                                                |          2 |        100 |         24 |         18 |        142 |
| core\components\static_elements                                                                                                                        |          5 |        200 |         25 |         33 |        258 |
| core\constants                                                                                                                                         |          4 |         28 |         18 |         25 |         71 |
| core\dio_interseptors                                                                                                                                  |          1 |         40 |          6 |          7 |         53 |
| core\error                                                                                                                                             |          4 |        114 |         41 |         31 |        186 |
| core\routing                                                                                                                                           |          2 |        539 |         40 |         90 |        669 |
| core\styles                                                                                                                                            |          7 |        355 |         29 |         69 |        453 |
| core\styles (Files)                                                                                                                                    |          2 |        233 |         22 |         42 |        297 |
| core\styles\app_color_scheme                                                                                                                           |          5 |        122 |          7 |         27 |        156 |
| core\util                                                                                                                                              |          5 |        147 |         34 |         34 |        215 |
| core\util (Files)                                                                                                                                      |          4 |        143 |         32 |         32 |        207 |
| core\util\inversions                                                                                                                                   |          1 |          4 |          2 |          2 |          8 |
| features                                                                                                                                               |        123 |      7,474 |        567 |        827 |      8,868 |
| features\auth                                                                                                                                          |         15 |        709 |         62 |         84 |        855 |
| features\auth (Files)                                                                                                                                  |          1 |         29 |          1 |          5 |         35 |
| features\auth\data                                                                                                                                     |          4 |        114 |         14 |         21 |        149 |
| features\auth\domain                                                                                                                                   |          2 |         10 |          7 |          6 |         23 |
| features\auth\domain\repositories                                                                                                                      |          2 |         10 |          7 |          6 |         23 |
| features\auth\presentation                                                                                                                             |          8 |        556 |         40 |         52 |        648 |
| features\auth\presentation\cubits                                                                                                                      |          4 |        174 |         20 |         24 |        218 |
| features\auth\presentation\cubits\otp_cubit                                                                                                            |          2 |         81 |          7 |         11 |         99 |
| features\auth\presentation\cubits\phone_cubit                                                                                                          |          2 |         93 |         13 |         13 |        119 |
| features\auth\presentation\views                                                                                                                       |          4 |        382 |         20 |         28 |        430 |
| features\auth\presentation\views (Files)                                                                                                               |          2 |        180 |          9 |         12 |        201 |
| features\auth\presentation\views\components                                                                                                            |          2 |        202 |         11 |         16 |        229 |
| features\full_movie                                                                                                                                    |         18 |      1,158 |         72 |        111 |      1,341 |
| features\full_movie (Files)                                                                                                                            |          1 |         28 |          1 |          5 |         34 |
| features\full_movie\data                                                                                                                               |          4 |        128 |         25 |         26 |        179 |
| features\full_movie\data (Files)                                                                                                                       |          2 |         64 |         16 |         17 |         97 |
| features\full_movie\data\models                                                                                                                        |          2 |         64 |          9 |          9 |         82 |
| features\full_movie\domain                                                                                                                             |          3 |         32 |          8 |          8 |         48 |
